scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 17:00,4.7707596
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 18:00,5.2887125
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 19:00,5.079453
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 20:00,4.258655
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 21:00,3.5163953
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 22:00,3.193144
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.02.2050 23:00,3.066904
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 00:00,2.7533798
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 01:00,2.5557973
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 02:00,2.472438
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 03:00,2.4995787
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 04:00,2.531789
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 05:00,3.1224794
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 06:00,3.7485535
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 07:00,4.319455
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 08:00,4.7577558
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 09:00,5.154275
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 10:00,5.4399557
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 11:00,6.0084114
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 12:00,5.835939
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 13:00,5.3741217
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 14:00,5.2131753
cross202209,abroad-together,reference,electricity_consumption_typical_day,elec_appliances,CH,seseth,GW,typical-day,01.07.2050 15:00,5.007263
